"","Year","Abun_Mean","Abun_SD","TRic_Mean","TRic_SD","TDiv_Mean","TDiv_SD","PRic_Mean","PRic_SD","PDiv_Mean","PDiv_SD","FRic_Mean","FRic_SD","FDiv_Mean","FDiv_SD"
"1",1986,0.713764698493112,0.164168741354493,-0.0493814416123177,0.171207502388005,-0.229969773380684,0.169312915634335,0.0199037807870969,0.164399279802371,0.0314912506142395,0.158441697739179,0.130025705232055,0.163799186332978,0.184808805415712,0.144870157771683
"2",1987,0.486341682708289,0.157166468362244,-0.249341366780821,0.1663357617384,-0.284434707262933,0.1517966055116,-0.144622204875439,0.159709031793292,-0.0435796444907104,0.144470693415283,0.0728235199446873,0.158535447796763,0.172612306292115,0.137969314531358
"3",1988,0.274797428512474,0.160782920522399,-0.417127487644997,0.173631462526731,-0.332423201382274,0.148274250847855,-0.289050215618574,0.169661268795508,-0.116597076074137,0.137121562070906,0.0237217041946545,0.163415924310622,0.160769874302245,0.133319497590116
"4",1989,0.0942775592075579,0.163442855379782,-0.522350727571675,0.177192326416484,-0.367579754304853,0.150445641607057,-0.393312446651395,0.176981123421727,-0.184433431998387,0.133652426933209,-0.00983714632955278,0.166512987258768,0.149593989040896,0.129927113731216
"5",1990,-0.0463175536264399,0.159384973699911,-0.547985186060949,0.170629391985555,-0.38583784478759,0.150101977872988,-0.444298115737577,0.173014877530572,-0.243244654011271,0.131709297938121,-0.0240194034723821,0.161058104578459,0.139206493900086,0.127147925528723
"6",1991,-0.142404082570373,0.150459013661623,-0.486840871991236,0.157750239181657,-0.384824166188608,0.144340196013339,-0.434704031291045,0.159235780445445,-0.289332248260927,0.130283116990317,-0.0174800776450117,0.148168906439447,0.129586237300653,0.125008377461375
"7",1992,-0.201906490533864,0.144429381575068,-0.361668380832454,0.15000577465522,-0.367284602220251,0.137140607808013,-0.375997779428082,0.147290773612024,-0.320461604799733,0.129587747595631,0.00380846204554144,0.138019618927546,0.120262530677033,0.123881289063519
"8",1993,-0.242200960129509,0.144932826522898,-0.219131166584773,0.152043574876578,-0.340175326559152,0.133874742408474,-0.295854698306758,0.146679267950173,-0.336682582870552,0.129199940897181,0.0281702087033374,0.139164660209826,0.110384201988554,0.123519072583296
"9",1994,-0.279921189902596,0.148645923960799,-0.104750039339384,0.158290101465945,-0.310897657120025,0.135739450118667,-0.223642000848569,0.154803107021538,-0.340294455328712,0.128691513557185,0.0442580143386331,0.148354708374675,0.0990892665894625,0.123248276525278
"10",1995,-0.3231153111966,0.152642257711317,-0.0416572889292727,0.164476390016838,-0.284159369406878,0.140688726341737,-0.177072910416006,0.164912851027839,-0.334918191190105,0.128839853252609,0.0459732986900551,0.158040556733589,0.0858462812876641,0.122780075184503
"11",1996,-0.377705350504221,0.154489328558039,-0.0473827811285736,0.167019077867497,-0.263970662038217,0.144763365324877,-0.170837007757714,0.16991458067579,-0.324404174655612,0.129840716228532,0.0285260447342055,0.161861632369947,0.0702080139607635,0.121927503007102
"12",1997,-0.449613334318157,0.151682697981676,-0.139456381711415,0.162025827098271,-0.25434173363255,0.143702020155929,-0.219623873622336,0.164043098402209,-0.312602789926112,0.130430904236659,-0.0128737645523118,0.155872171309722,0.0517272324863654,0.120515499004989
"13",1998,-0.540721846404146,0.145986200878049,-0.32257492501604,0.152341475257023,-0.257582680378867,0.137351041657785,-0.329698708619214,0.151375397249188,-0.302642935911756,0.129502903218889,-0.0800795804747239,0.143925070164697,0.0302211832625132,0.119024735327767
"14",1999,-0.635053174929534,0.14616587621897,-0.544623583696949,0.152561379479376,-0.268367034641154,0.133570216451826,-0.469733156419389,0.152105349249028,-0.294271529448539,0.128308262693104,-0.161795469572228,0.142291499783289,0.00672355750584251,0.118967892439661
"15",2000,-0.70697778228104,0.153131927237656,-0.722606059656154,0.163625666855139,-0.276599599400611,0.136739720049384,-0.586450312866322,0.168470744245096,-0.284463732329528,0.128105144555457,-0.238739811407396,0.156018665719679,-0.0168294319250575,0.120965211752057
"16",2001,-0.737447740181913,0.157397576458458,-0.794661003417781,0.169792056256871,-0.273631414802974,0.140813395115956,-0.637774357349937,0.179030912377104,-0.269810873469177,0.128102633995092,-0.29462411133132,0.170194326571371,-0.0384694327269553,0.123664188762931
"17",2002,-0.72258592084062,0.154219660885068,-0.747339437100657,0.164812229884764,-0.255803243964737,0.139899192006456,-0.611118281434759,0.173472157258239,-0.248344705521049,0.127159241214147,-0.32229437070072,0.173726947661622,-0.0567924603781897,0.125179538332884
"18",2003,-0.665642077760726,0.146589310103842,-0.589007987368419,0.154237437062007,-0.221966273960856,0.133752502920872,-0.507868797491094,0.156272518761144,-0.21914498189793,0.124884774092457,-0.319078593579711,0.164664761216435,-0.0707783996155744,0.124197905458581
"19",2004,-0.58597959083676,0.14373032577524,-0.374583278455128,0.151300236721144,-0.176934883398861,0.128934678125429,-0.360784382489556,0.145879755422273,-0.184389556545875,0.122787760127636,-0.29274441337382,0.151233667873784,-0.0805479354335373,0.121244102395502
"20",2005,-0.5119713181512,0.147066478875806,-0.181147250368494,0.155398300079761,-0.12918641630843,0.129522237646444,-0.219350076019368,0.148585242545831,-0.148571849006135,0.122010005802626,-0.257333134275641,0.14190821589335,-0.0872177709841145,0.117819348743687
"21",2006,-0.467029306719886,0.149117069763599,-0.0658223713895852,0.155415815154625,-0.0862092480815336,0.131862981975925,-0.12274483534635,0.151021228548444,-0.116195163141365,0.121999510361867,-0.225035648575963,0.137236198408944,-0.0922723704815734,0.114980289909021
"22",2007,-0.45935560951142,0.146924164085003,-0.0401548264163529,0.150609471624233,-0.0513001394563266,0.131958970621346,-0.0823556311255712,0.147241926440869,-0.0897175697587891,0.121967542946192,-0.200901845542099,0.134635089423413,-0.0969788153361948,0.113005126709461
"23",2008,-0.479621551271687,0.143883236252391,-0.0721636583315398,0.147492462209492,-0.0231469648869635,0.129952328199816,-0.081461200008453,0.142933385143885,-0.0686896276331063,0.121621148238369,-0.182628772135156,0.133039226343812,-0.102082838626875,0.111714740212461
"24",2009,-0.50664254710683,0.142325208449755,-0.1112098604214,0.146181792608763,0.00210318391033595,0.127467806019857,-0.0897280601893158,0.140828255343236,-0.0503525194951539,0.120858052065591,-0.164629592252904,0.131641276238579,-0.107847588778115,0.110828274752598
"25",2010,-0.517323249749289,0.141933909775445,-0.118543791710958,0.14441835618765,0.0279119641691583,0.12562261523554,-0.0822044895292423,0.139088249025359,-0.0312207670725176,0.120053736834269,-0.143226209479717,0.130896607293094,-0.114314680829998,0.110247515246371
"26",2011,-0.495705776480255,0.142586146714079,-0.0850340700608942,0.145392847393725,0.055422966222315,0.125022645942757,-0.0512195562720164,0.13890675034158,-0.00877026350437685,0.119681443692275,-0.119523028919307,0.132572352631019,-0.121580206359391,0.109929038647456
"27",2012,-0.437330999257912,0.143072088439998,-0.027263364123981,0.149350636626414,0.0835327902519962,0.124933197109947,-0.00525308242122895,0.140581659175085,0.0175463601387277,0.119084371278473,-0.0983338494669493,0.135262121918525,-0.129919246952709,0.109534999599105
"28",2013,-0.348129653447442,0.141304189492167,0.0329546845611938,0.150570188803929,0.110604484412661,0.123925782205478,0.0426699474527034,0.140415987748662,0.0462723231784467,0.117300521512158,-0.0841463941536308,0.135293547838835,-0.139714587221671,0.108739258436751
"29",2014,-0.239731381345025,0.138047400606,0.0861152093085687,0.147739120732115,0.136049510470751,0.122129059126681,0.0856521993071049,0.137707612647401,0.0747359579193265,0.114839509308211,-0.0780154839793265,0.132474639086272,-0.151312287657327,0.10773370636257
"30",2015,-0.124731673396641,0.134842321238269,0.12602496857002,0.142769732533474,0.159566156957316,0.120206359037842,0.118532606278187,0.133848013552019,0.100051273358371,0.112355620434031,-0.080149508183622,0.128471054494085,-0.165043826358901,0.106772238087292
"31",2016,-0.0144758564519135,0.132341496547893,0.150719993136608,0.138208808179916,0.181247322219253,0.118669759815495,0.138799093356774,0.130397317558438,0.119641695221626,0.11000930900555,-0.0898886006466601,0.12516049167236,-0.18115537875055,0.106049324810963
"32",2017,0.0857497690649482,0.131003798032862,0.175906361912522,0.136108701926306,0.20282835022983,0.118210181409513,0.155159946066234,0.128529699980825,0.132480387845151,0.108435585601739,-0.102953195049018,0.12401959906499,-0.199487922346454,0.10607978975047
"33",2018,0.176632320348209,0.131381350794235,0.222017377638316,0.13567027121731,0.226440184544082,0.119690491468101,0.180117068687278,0.127648039773023,0.139306974404979,0.109299152534981,-0.114131274735912,0.125114567635816,-0.219516004292121,0.107830328802256
"34",2019,0.261813361686945,0.136581891505516,0.296714452160292,0.139842522731034,0.25290503973167,0.125289399612148,0.219376049332636,0.131247133792537,0.142060424883816,0.115438221284516,-0.120884840368836,0.130410851539831,-0.240563478634156,0.112550963779472
"35",2020,0.344839893851702,0.150316793249254,0.389991639040288,0.155064704526039,0.281244050057911,0.137101905825599,0.268432689031222,0.145948306162099,0.142982046601085,0.12859681397673,-0.124434197596031,0.143206671325169,-0.262027920592489,0.120909252092713
