"","Year","AbunMean","AbunSD","TRic_Mean","TRic_SD","TDiv_Mean","TDiv_SD","PRic_Mean","PRic_SD","PDiv_Mean","PDiv_SD","FRic_Mean","FRic_SD","FDiv_Mean","FDiv_SD"
"1",1986,0.39400963913195,0.296783880004552,10.7435241460362,11.7681238670029,0.729849407926139,0.803174337194023,1231.00482357982,1267.06120890447,151.999799747551,159.516405662309,0.288750171074656,0.292448878720185,0.0234053839651308,0.0229746820166164
"2",1987,0.35350709704932,0.29543408307058,9.80847938485605,11.749331951405,0.720366939294048,0.799157173445391,1190.61200228577,1265.06538214513,147.696837720307,158.609585059196,0.28053818233124,0.291276531479621,0.0232643713065235,0.0229143036903177
"3",1988,0.315847308524896,0.29608741277124,9.02484760283598,11.7940956104321,0.712151788724039,0.797769695938279,1155.21388508282,1267.01311535051,143.527439189552,158.114199463912,0.273444438270855,0.291590057181324,0.0231320020706651,0.022871317752584
"4",1989,0.283743581839515,0.296602647748152,8.53526100003457,11.8195249532279,0.706377479146521,0.797566012679188,1129.75672984652,1268.64482211174,139.68131411867,157.879428588625,0.268519638775891,0.291867814801355,0.0230153339847474,0.0228341150107642
"5",1990,0.258793191143788,0.295895915443669,8.41902148504501,11.7914987756381,0.703681734406623,0.797090099786842,1117.40980357179,1267.65441208696,136.377212077405,157.764549581074,0.266344348622723,0.291175335097744,0.0229163960365251,0.0227983567043761
"6",1991,0.24182093824805,0.294300657906085,8.70912471859889,11.7268412062291,0.704357049486142,0.796111980191852,1119.89644229924,1264.34249531116,133.820281307953,157.702680067363,0.267158095579114,0.289653970350701,0.0228342913717298,0.0227685280026162
"7",1992,0.23141126026751,0.293253992307774,9.29812113578646,11.6848041148815,0.707735176607439,0.795620042482399,1134.32145734093,1261.60613041836,132.121692715736,157.688310317758,0.270167761454091,0.288643764437576,0.0227604374744494,0.0227526212403245
"8",1993,0.224453045438376,0.293434830264441,9.96688430329875,11.6958485322012,0.712443019214784,0.79619605130083,1153.85181798401,1261.75285678446,131.259262599967,157.674150546126,0.27374477183459,0.289183158347074,0.0226811587412745,0.0227481418226894
"9",1994,0.217962224260014,0.294226051086347,10.5024390479209,11.7336760622917,0.717171393868957,0.797248067989099,1171.31852384717,1263.97000678319,131.091128902267,157.629585113201,0.276256579098961,0.290746248968952,0.0225846025316309,0.0227454412905411
"10",1995,0.210485727668899,0.295082126726325,10.7973787077742,11.7726675794547,0.721235748989628,0.798117437076237,1182.47590309085,1266.51381751064,131.413148448788,157.616334350317,0.276774074879655,0.292296031245033,0.0224655339130262,0.0227408961258089
"11",1996,0.200949857700601,0.295564485832915,10.7706760730636,11.7924296815066,0.724105418331383,0.798306024064141,1183.83241354053,1267.69060635117,132.010977069555,157.661915873045,0.274545868595868,0.292896286166115,0.0223202995822589,0.0227341937856904
"12",1997,0.188280916390691,0.295223457520264,10.341303933994,11.7739674780141,0.725249735648807,0.797439448419563,1171.89651302168,1266.16623826645,132.670270594592,157.694678906816,0.268820569666795,0.291885808489332,0.0221452462361272,0.022725141212712
"13",1998,0.172128805996564,0.294329950940077,9.48801666068798,11.7308518384158,0.724407734274196,0.795799315278824,1145.20936961233,1262.93589630051,133.217990314974,157.638133175084,0.259282380488904,0.289732564880977,0.021939436771537,0.0227171890895551
"14",1999,0.155343854291136,0.294346562833399,8.45412475506425,11.7308539719914,0.722522137541471,0.794867656474562,1111.37651562436,1262.86166292569,133.674196482437,157.556179913224,0.247568661594712,0.288991144719589,0.0217142605258871,0.0227200144953349
"15",2000,0.142511371398063,0.295465558726688,7.62628588779586,11.7790341563423,0.721253939760164,0.795359014650627,1083.26562015728,1266.57009207797,134.215107243352,157.530261507534,0.236513915305953,0.290751591022811,0.021489537959471,0.0227368159317857
"16",2001,0.137047930514985,0.296144211569258,7.29201894612842,11.8034676389539,0.721995060035966,0.7961648965043,1071.00088660864,1268.99240757938,135.036584576929,157.528539775414,0.228518896069653,0.292764420317994,0.021284505834874,0.0227583241520246
"17",2002,0.139661804380236,0.295578345931604,7.5128733299879,11.7749769471556,0.725326480374558,0.796233034627886,1077.56855806433,1267.72470939456,136.251397811481,157.489884129766,0.224630163364697,0.293255473772308,0.021112194125582,0.022772105720494
"18",2003,0.149786255784165,0.294219478953208,8.24881852585648,11.7190883586068,0.731426202773705,0.795549470329415,1102.58663382138,1263.94592260066,137.912587186819,157.394232868887,0.225227426611412,0.291973333904086,0.020981806742629,0.0227684565121256
"19",2004,0.163965910269345,0.293585985248464,9.24365387844828,11.6985916507952,0.739512862312541,0.795205597720984,1138.14025122135,1261.96168779744,139.897061679139,157.322735888577,0.229135851106103,0.290284501678706,0.0208917015306814,0.0227490796002358
"20",2005,0.177124509940151,0.293971846633505,10.1389001702332,11.7140692028514,0.748185066588363,0.795783035019316,1172.32165794787,1262.87694246628,141.94885770545,157.316818082478,0.234256021388472,0.289373522360437,0.0208309217201788,0.0227225073864651
"21",2006,0.185066010058604,0.294183611326917,10.6698532620596,11.7152870219655,0.756140097122725,0.796512433468158,1195.73202036547,1263.42411554916,143.808675804961,157.313248379,0.238786911331297,0.288966947188675,0.0207851751063726,0.0226967762101081
"22",2007,0.186314938017874,0.29372404651642,10.784334800962,11.6977954310051,0.762697483125268,0.796520405466624,1205.66687012289,1262.4026446787,145.330560326466,157.261572464331,0.242019277494172,0.288559203190606,0.0207423292398872,0.0226774220977169
